GeneSymbol	GMP	preNeutrophil	Immature Neutrophil	Mature Neutrophil	Blood Neutrophil 1	Blood Neutrophil 2
Fos	-0.818285016	-1.221606884	-0.582140646	0.922203785	1.169312091	0.530516669
Btg2	-1.431220591	-0.918909018	-0.129173037	0.907221131	0.91205234	0.660029175
Zfp36	-1.384980819	-0.908289708	-0.23793391	0.908037347	0.982401966	0.640765124
Egr1	0.069376704	-0.897947165	-0.602178913	1.566081284	0.75831539	-0.893647301
Dusp1	-1.011188117	-1.003405321	-0.692444861	0.761350891	1.06951723	0.876170179
Junb	-0.840703439	-1.225952311	-0.606473463	0.852104925	1.048897595	0.772126693
Cxcr2	-1.561435819	-0.76536441	-0.100835972	0.789444555	0.840414453	0.797777194
Csf3r	-1.119604173	-0.915557192	-0.652653891	0.67363567	1.011545329	1.002634257
Malat1	-0.673145209	-1.106024213	-0.886304942	0.727566578	1.224837753	0.713070033
Ier2	-1.49512858	-0.566771746	-0.105230571	1.192062797	1.005170134	-0.030102033
Il1b	-0.974703869	-0.972590462	-0.770839286	0.729061963	1.001339734	0.987731921
Stk17b	-1.320010301	-0.855109973	-0.430103096	0.844737246	1.07789725	0.682588874
Ptprc	-1.422753319	-0.899206239	-0.167566182	0.640674169	1.023252027	0.825599544
Tnfaip2	-1.25223382	-0.862241889	-0.436985941	0.39262047	1.16018016	0.998661021
Iqgap1	-1.491371009	-0.916108941	0.010346251	0.680890594	0.851314333	0.864928773
Lst1	-1.627678168	-0.452747197	-0.329463531	0.652078464	0.695899127	1.061911305
Neat1	-0.686659071	-1.608301681	-0.087408614	0.707988739	0.962093195	0.712287432
Cebpd	-1.854141057	0.100817303	-0.189090824	0.400553883	1.060007205	0.481853489
Adgre5	-1.591653781	-0.487601562	-0.082624507	0.065094209	0.949489128	1.147296513
Ccl3	-0.444844141	-1.238495867	-0.132588314	1.751507928	0.332881946	-0.268461552
Fth1	-0.548429789	-1.178958193	-0.951453036	0.866343038	0.980055296	0.832442684
Cxcl2	-0.62623941	-0.524527295	0.048881022	1.969712129	-0.241587037	-0.62623941
Gadd45b	-0.479759115	-0.714093782	-1.411343684	0.813900042	0.920197671	0.871098867
Hcar2	-1.185725512	-0.998358236	-0.474441478	0.936382054	0.94025878	0.781884391
Ccrl2	-0.640797609	-0.560257684	-1.152767244	1.245879643	1.178724446	-0.070781551
Il1r2	-1.828660991	-0.32468493	0.00329009	0.716120918	0.786444121	0.647490793
Nfkbia	-1.66677305	-0.104139606	-0.491665747	1.023273316	0.897375884	0.341929203
Cebpb	-0.77694685	0.512934995	-0.77694685	-0.414003131	1.799803003	-0.344841168
Ubc	-0.979177648	-0.974451981	-0.330012678	1.099943009	1.32407211	-0.140372811
Srgn	0.259524071	-0.465365946	-1.82276173	0.621670738	0.796785559	0.610147307
Ftl1	-0.509195168	-1.056809196	-1.096951954	0.980696632	0.98912698	0.693132705
Slfn2	-1.729495504	-0.494722496	-0.069984316	0.730080912	0.820408632	0.743712773
Cd14	-0.641071785	-1.300801357	-0.584092278	0.430945337	1.343745208	0.751274875
Ccl4	-0.121707209	-1.547797684	-0.697583156	1.182952576	0.626868742	0.557266731
Clec4d	-0.940767744	-1.120309396	-0.640781936	0.949507235	0.954690065	0.797661776
Litaf	-1.441357307	-0.935394262	-0.093507728	0.843157532	0.859038759	0.768063007
Wfdc17	-0.938705676	-1.164835068	-0.575757938	0.741308537	0.929928032	1.008062113
Nlrp3	-1.011540187	-1.148137254	-0.502587206	0.730462731	1.022770436	0.90903148
H3f3a	-0.445260426	0.286293186	-1.649007582	1.380849547	0.177577315	0.249547959
Tmsb10	1.111180002	0.496891085	0.847904544	-0.09383836	-1.16126645	-1.200870822
Rack1	1.755451953	0.521934374	-0.077308012	-0.857240636	-0.713421206	-0.629416472
S100a10	1.479568232	-0.622186316	0.907881686	-0.968558327	-0.813104368	0.016399093
Npm1	1.743456809	0.477264789	0.051676039	-0.815962729	-0.770108803	-0.686326104
Nme2	1.846907915	0.294754538	-0.079053488	-0.478015574	-0.869220255	-0.715373135
Cd3g	-0.614534164	-0.614534164	-0.614534164	0.745243396	-0.614534164	1.712893261
Snrpg	1.461149361	0.91657677	-0.014283822	-0.501958826	-0.788962859	-1.072520623
Naca	1.797880697	0.577636892	-0.540622179	-0.700890853	-0.505940323	-0.628064233
Atp5g2	1.561191805	0.837225126	-0.090351426	-0.892268781	-0.87401142	-0.541785304
Snrpe	1.108091337	1.159172102	0.184022411	-0.925536473	-1.195318925	-0.330430453
Ppia	1.272733399	1.068343483	0.216685812	-0.937683244	-0.821454066	-0.798625385
Eef1a1	1.834863972	0.225781836	0.084736818	-0.878571176	-0.653697351	-0.613114101
Mbnl1	1.43394302	0.541833436	0.568716156	-1.139913759	-0.559178242	-0.845400611
Uba52	1.539914149	0.418260174	-0.469861056	-0.929045873	-1.058555127	0.499287731
Nsa2	1.766468536	0.569444276	-0.301478048	-0.912968975	-0.528499327	-0.592966463
Hsp90ab1	1.895420509	0.130599857	-0.044807424	-0.434643358	-0.731670625	-0.814898959
Crip1	0.418067616	0.350651413	1.113604855	-0.725465336	0.486156672	-1.643015221
Ptma	1.434971566	0.931117546	0.070326	-0.959371108	-0.56865653	-0.908387474
Eef1b2	1.921011521	0.127182213	-0.744041433	-0.719297283	-0.45293528	-0.131919738
Ngp	-1.401879067	1.185394067	1.079147519	0.067508804	-0.583089552	-0.347081771
Camp	-1.318660669	1.26026991	1.085087022	-0.129641689	-0.64382133	-0.253233244
Ltf	-1.389518934	1.046159682	1.282065925	-0.199598933	-0.464722548	-0.274385193
